state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.115	60.186	0.987	4	NA	-118.08	0.00	-1.04
200	0.115	60.186	0.796	4	NA	-115.72	0.00	-0.69
300	0.094	60.186	0.963	4	NA	-119.27	-1.75	-3.50
400	0.094	60.186	0.775	4	NA	-116.82	0.00	-0.69
500	0.039	60.186	0.740	5	NA	-105.80	0.00	-2.13
600	0.079	60.186	0.778	5	NA	-101.46	0.00	-0.12
700	0.079	60.186	0.778	5	NA	-101.46	-1.98	-3.27
800	0.079	60.186	0.782	5	NA	-101.06	0.00	-0.69
900	0.079	60.186	0.782	5	NA	-101.06	0.00	-0.73
1000	0.079	60.186	0.782	5	NA	-101.06	0.00	0.00
1100	0.079	60.186	0.826	5	NA	-104.66	0.00	-0.69
1200	0.079	60.186	1.142	5	NA	-110.87	0.00	-0.59
1300	0.079	60.186	0.861	5	NA	-100.70	-1.98	-3.27
1400	0.079	60.186	1.745	5	NA	-103.96	-1.98	-3.27
1500	0.079	60.186	0.861	5	NA	-100.70	0.00	-1.81
1600	0.063	60.186	0.818	6	NA	-103.58	0.00	0.69
1700	0.063	60.186	0.849	6	NA	-100.53	0.00	-1.42
1800	0.063	60.186	0.849	6	NA	-100.53	0.00	-2.36
1900	0.063	60.186	0.847	6	NA	-100.41	0.00	-0.69
2000	0.052	60.186	0.847	6	NA	-96.53	-2.16	-3.08
2100	0.060	60.186	0.855	6	NA	-96.60	0.00	-2.78
2200	0.060	60.186	0.900	6	NA	-98.24	-2.16	-3.08
2300	0.060	60.186	1.088	6	NA	-100.89	0.00	-3.31
2400	0.072	60.186	0.855	5	NA	-100.34	0.00	-3.65
2500	0.072	60.186	1.043	5	NA	-102.91	0.00	-0.27
2600	0.063	60.186	0.855	6	NA	-96.54	0.00	-0.69
2700	0.063	60.186	0.849	6	NA	-96.99	-2.16	-3.08
2800	0.063	60.186	1.043	6	NA	-99.18	0.00	0.00
2900	0.063	60.186	1.043	6	NA	-99.18	0.00	-0.66
3000	0.087	60.186	0.871	6	NA	-99.40	0.00	-0.65
3100	0.087	60.186	1.720	6	NA	-104.15	0.00	-0.69
3200	0.087	60.186	0.877	7	NA	-98.89	-2.31	-2.92
3300	0.087	60.186	0.985	7	NA	-101.33	0.00	-0.69
3400	0.053	60.186	0.949	7	NA	-97.93	0.00	-0.34
3500	0.075	60.186	0.995	6	NA	-101.10	0.00	-0.69
3600	0.075	60.186	0.995	6	NA	-101.10	-2.16	-3.08
3700	0.075	60.186	0.995	6	NA	-101.10	0.00	-0.55
3800	0.075	60.186	0.938	6	NA	-100.81	0.00	-0.48
3900	0.046	60.186	0.830	6	NA	-101.88	0.00	0.69
4000	0.049	60.186	0.911	6	NA	-100.18	0.00	-0.69
4100	0.066	60.186	0.846	6	NA	-98.69	0.00	0.00
4200	0.062	60.186	0.842	6	NA	-98.64	0.00	-0.69
4300	0.062	60.186	0.923	6	NA	-99.24	0.00	-0.69
4400	0.062	60.186	0.934	6	NA	-99.21	0.00	-2.82
4500	0.062	60.186	0.820	6	NA	-101.92	0.00	-0.05
4600	0.062	60.186	0.888	6	NA	-99.57	0.00	-3.89
4700	0.062	60.186	0.842	6	NA	-99.25	-2.16	-3.08
4800	0.062	60.186	0.980	6	NA	-99.70	0.00	-0.69
4900	0.062	60.186	0.866	6	NA	-102.37	0.00	0.00
5000	0.062	60.186	0.842	6	NA	-98.64	0.00	-0.69
5100	0.062	60.186	0.842	6	NA	-98.64	0.00	-1.81
5200	0.062	60.186	0.842	6	NA	-98.64	0.00	-0.41
5300	0.062	60.186	0.830	6	NA	-98.50	-2.16	-3.08
5400	0.062	60.186	0.830	6	NA	-98.50	0.00	-0.82
5500	0.062	60.186	0.830	6	NA	-98.50	0.00	-0.79
5600	0.062	60.186	0.928	5	NA	-99.44	0.00	-0.45
5700	0.072	60.186	0.788	5	NA	-101.53	0.00	-0.24
5800	0.072	60.186	0.863	5	NA	-101.99	0.00	-0.69
5900	0.072	60.186	0.937	5	NA	-99.76	0.00	-2.43
6000	0.072	60.186	1.120	5	NA	-102.09	0.00	-0.69
6100	0.072	60.186	1.120	5	NA	-102.09	0.00	-0.69
6200	0.072	60.186	0.790	5	NA	-101.53	0.00	-0.14
6300	0.020	60.186	0.828	8	NA	-93.49	-2.45	-2.78
6400	0.020	60.186	0.769	8	NA	-92.50	0.00	-0.11
6500	0.020	60.186	0.781	8	NA	-90.94	0.00	-1.06
6600	0.020	60.186	0.775	8	NA	-90.42	-2.45	-2.78
6700	0.020	60.186	0.779	8	NA	-92.13	-2.45	-2.78
6800	0.034	60.186	0.969	7	NA	-100.46	0.00	0.00
6900	0.056	60.186	1.703	7	NA	-102.53	0.00	0.69
7000	0.056	60.186	0.765	6	NA	-96.83	0.00	-0.69
7100	0.056	60.186	0.793	6	NA	-97.66	0.00	-0.90
